emotion,cleaned_text
joy,feeling fine toothache last three days hopefully go dentist today
sad,ive years literally overwhelming exhaustion months feeling isolated lonely days want run front door never come back ive also shared many wonderful memories kids
sad,feel like house dirty moment probably dont need know
sad,im glad exist get good ideas sure make feel like lousy mother
fear,feel really scared instead
sad,gave proper credit sue poor jokers appear happier worldly human upset usually feel devastated anyone else
joy,feel perfectly safe village pc communication
sad,feel exhausted also top world
anger,run feel like something life god uses teach maybe stubborn prideful takes miles learn something
sad,yet feel homesick although miss chipotle best friend angela luckily talk daily
fear,im also feeling little suspicious im sure
fear,feel like agitated bossy time turn kinda getting old dunno talking loud right
joy,certainly feel important cultivate
joy,feel considerate needs much
joy,guess time start feeling festive
joy,feel privileged raising two smart precious girls
sad,feel quite pathetic
joy,really admire piece feel though need picture posts isnt divine
joy,feel confidence pour words throughout showing knowledge topic thereby convinced position topic right one
sad,feel bad cant either physically emotionally
sad,feel dirty inadequate
sad,feel like ive caused someone feel like ignored
sad,highest weight feeling miserable prednisone
love,feel like people accepted community opening interactions
love,feel owe loyal reader friend
love,feel loving everyone grateful everything
joy,feel long soulmate even casual player
fear,leave option spanking feel little helpless
joy,im feeling amused background noise mock week
joy,feel positive energies least dozen women place
sad,ive feeling really ugly lately havent going
joy,honestly feel respected text
anger,feel rude worh time
sad,also kind need stop feeling guilty feeling tired
joy,ate great whats even better feel terrific
joy,could feel peace welcomed week packing saying good bye dealing overwhelming feeling displacement
love,cant tell exactly feel whether sympathetic empathetic
sad,feel lonely think id like mate
joy,received many emails cards phone calls wishing well feel special
joy,love feel fucking invigorated um allowed condoms nightstand
sad,longer crying feeling sorry
anger,trying say feeling bit cranky please give pizza
joy,think wherever pick feel eager willing go spirit
anger,feeling bit impatient maybe cause meds working well today
fear,often feel helpless
joy,wonder season also feel hopeful
sad,feel like sort missed whole years gone late give sibling dog grow almost missed giving yard
sad,way act whatever makes cameron feel needy soon steps house relies soothing sleeping mechanism
joy,ive never experienced extremes vanity feeling hey know face acceptable like tidal wave compared peoples ripple pond
joy,im talking feeling casual relax
anger,started feel grumpy
joy,feel smart talking stuff already know href http spiralsandspatulas
anger,im feeling grumpy days ago
sad,close friend family died
anger,feel abit annoyed leh
joy,feel like rich young ruler wanted follow god refused give loved
anger,feeling frustrated simple dress decided make maggie working
anger,feel would rude give go good friend spend money
sad,feel like life getting boring day passes
joy,feeling adventurous today gave try today
sad,feel stressed upset frazzled lace hit streets trails
suprise,feel asked genuinely shocked
sad,still feel regretful carene
joy,love ability make skin feel super soft hydrated brighter
sad,feel ashamed
joy,feel proud californian irish scottish english cherokee mix citizen country good sense welcome someone exudes kind life sunshine baby haitian
fear,signed berryman january decided sign marathon year since disc problem wasnt seeing another miler future even marathon feeling doubtful
joy,feel like youre gon na something makes happy
sad,woke late today feeling little groggy cold flu tablets took slept
joy,feel honored given remarkable opportunity told extremely rare civilian allowed inside substation
fear,think first made feel vulnerable suddenly living glass house showed would blow fall disgust ridicule made relationship even closer
fear,looking vest tops shorts long ones due feel paranoid cellulite everywhere
joy,feel content think
joy,feel hayes come strong end book
anger,feeling aggravated
joy,feel benign
joy,forsythia lined path bloomed first time spring would feel joyful
suprise,jump one post another really tell excitement feel shocked stunned giddy ov
joy,still feel thrilled company pure love
anger,must focus feeling guilt wanting believing deserve necessarily dissatisfied currently
joy,sure happened feel soo sure done
anger,begin feel angered inability proceed even though getting angry really thing
anger,even feel little annoyed case may need stylish update
fear,feeling unsure gods love start doubt david could love puts stress relationships
joy,need purpose feeling something worthwhile
suprise,still feel shocked wonder ever sink little ol designing prima
sad,cant see without feeling heartbroken
love,feeling someone longing tho apart enough knowing long
sad,know feels helpless kiss cuddle hug every morning love every night
suprise,feel genuinely strongly hate everything stands passion wouldnt surprised issue addressed upcoming madsannah video
joy,feel fine
sad,also surround women business may experiencing similar situations connect regularly keep feeling isolated
sad,middle huge wireless store landline feeling like chump trying figure menu options add fix broke get phone
anger,feel angsty irritable today
joy,sure please inner feelings speak cute gifts like cakes valentine feel special lovely
sad,feel shitty kind rushed move onto comics stuff working
joy,would feel convinced someone business said
sad,think tired feeling unimportant
suprise,ill admit blogs regularly read open lives include readers bad feel amazed bravery share whatever horribleness going
joy,find emotions somewhat hard fathom peoples ironic really since stuff people feelings pretty much day job
joy,feel keeps wow blogging community rich ever changing
sad,reflected feel way jaded felt however big footprint flipside left done enough living could keep perspective part continuum lives see break
sad,feel horrible letting fall stairs
fear,im feeling little overwhelmed recently
fear,feeling im neurotic something though
sad,feel numb days ive enough
sad,want anyone killed want people panic feel completely devastated paralyzed
sad,feel numb repressed alone
sad,feel completely ungrateful
joy,believe primarily feel sense purpose work feel valued company
love,feel like wouldnt longing could baby new experience together
sad,still feeling pretty shitty christmas
sad,feel times helpless
sad,feel like must crappy teacher compared shiny new contracts
sad,feel really sad im going study physics
fear,ive noted horseplayers organization quick take action feel wallets directly threatened
sad,know lose friends feel terrible
love,feeling gentle stroking face arms legs trademark andromedans number years
fear,im actually feeling like blogging weird would ever read blog
sad,american yes feel shamed much would like give cant
sad,thought best way handle make elder aware discuss situation feelings got hurt things got hand
sad,might really go crazy insane dont learn control feel last week broke really lost
joy,also knew feelings real nothing else world would valuable chase
sad,think feeling little bit needy
sad,feel ungrateful theyve positively throwing stuff us icon journalfen wilfully promulgating lies since gift way kudos heavywind actually queuing tweak wiki entries like martyrs queuing crucifixion
sad,feel like moronic idiot
joy,ive read often abusers purposely pick successful make feel superior dragging someone
anger,also cant help feel jesus isnt mad
love,feel generous horrible
anger,didnt mind spent yesterday reading watching tv napping sunday today left feeling antsy irritable aside still cant bothered anything productive
fear,combed couple days feeling little insecure whether looks good
fear,threatened roof house happen feel threatened know whilst lying sniper style
joy,feeling way smug plankton called smug married friends though none actually smug bad time
sad,let somehow feel useless even though everything ordinary
joy,im already feeling precious little angel yet grow times lay eyes
joy,feel privileged good job right school super excited get stay bellingham
fear,feel hesitant get back city fear change know love settle daily grind
joy,noticed metallic glitter eyeliners second instead feeling superior wanted
anger,dont know dont feel like bothered
joy,im already feeling inspired havent even left south carolina yet
fear,everlastingly feel like need praise everlastingly frightened dependability upset disappoint
joy,feeling especially brave way home amandas violin lesson stopped cvs dollar store
anger,feel insulted
joy,feel free follow thread thought feel particular affinity rather sensing much way social pressure think way think way
sad,feel warn may may people unsavory character downstairs tonight
sad,starting feel like worthless person
anger,get comments ever feel leave kind acknowledgment return fact bothered read comment
joy,usually offer slightly better terms feel assured land primary source collateral
anger,feel like theres dangerous chance im pulling quixote blinding rushing windmill eventual marriage future child
sad,feel one wants bring secretary clinton even resigned david petraeus frankly seen popular nation capital
love,space heart safe community feel love life self supporting
sad,couldnt feeling disappointed reunion although like surprising number episodes last quarter hour salvaged extent
joy,gave examples whole range questions could ask employees order feel valued validated short answer question hear
sad,couldnt help feeling mournful quite long long
suprise,help asking feeling got quite surprised replied never released numbers almost early
joy,little concerned going havent feeling sociable right
anger,havent getting lot sleep lately im feeling grumpy
sad,hate feeling helpless
sad,got feeling didnt eat everything sight would doomed never anything good
joy,feel glamorous child like time
anger,feel must feels mad
joy,feel like love sincere man world would dump body lake got drinks friends
love,feel heart way tender one used
sad,spent weekend feeling depressed christmas music playing
joy,feel privileged able tell university leicester one two universities uk literary festival
sad,feel numb lost disconnected unsure
joy,grew fought little less started put feelings others smart thing
anger,feel like ive fucked everything forever
sad,feel inadequate role like song mentioned know mercy god higher ways ways small keep persevering even tough
joy,ive already started making feel relaxed prioritizing yoga practice adding breath work meditation instead skipping crusing like im often tempted im busy say time sighing simple href http www
sad,find feeling resigned way
love,feeling really blessed still alive take granted anymore
anger,almsot wish didnt even ask feels insincere
sad,feel sorry people whose morales corrupted inside whose goals missions life seems make others feel miserable
fear,woke morning feeling agitated expectant apprehensive
joy,feeling creative difficult time trying bring third color liked went dark pink corduroy skirt applique
joy,feeling also blossoming eager anxiety
joy,want lazy laid back days ones feel rich
joy,feel fully appreciative genius casting michael cera jason batemans son
love,feel like held many supportive people right feel truly blessed
sad,remember feeling devastated loss thumbelina figurine second grade
suprise,feel amazing dress others feel like could better curl couch watch netflix day
joy,wasnt feeling mellow band moment
suprise,remember feeling shocked would
joy,feel blessed thank heavenly father faith family friends freedom enjoy
joy,friends though feel like moment extremely privileged blessed
love,mentioned easy feel compassionate towards things towards others
joy,think william feeling successful know feeling much less frustrated
joy,spring sessions range transcendent interminable attendee pools overlap far less personally feel ought always come away invigorated even get red eye flight followed day meetings
joy,went feeling confident first last weeks training really put damper
joy,feel ive neglecting beloved annie lately thrilled see look radiant colorful prada dress
sad,know feel remorseful sitting bar one besties downing free shots super cute bartender
sad,cool apologizes whatever thing didnt made feel unloved real imagined
joy,feeling one going popular week list likely different reasons
fear,feel little overwhelmed
joy,last feel much darker spirit place much despair little optimism resolving issues need resolved horrified see fences
sad,proceeded witness loss friend horrid way utter words capture true feelings events tragic day
sad,cried tears come feel low sad
fear,feeling hunters strange fetish
sad,feel twice miserable started
joy,feel safe saying remembered time come
sad,usually like blab feelings thoughts publicly tend think makes seem whiney like im trying grab attention seems like one rare occasions im prompted
sad,im astro person work difficult communicate collaborators feel isolated
sad,feel dull ache either
suprise,guess feel surprised
fear,appreciate gentle guidance valuable advice reason still feel intimidated embarrassed
joy,im feeling festive today best friends birthday
joy,feel election glad
anger,feel like fucked
sad,feel depressed
joy,feel write elegant enough words portray cash way want
joy,feel better help
anger,could feel another vicious headache coming ignored temptation rub temples front men
sad,feel troubled victory defeat
anger,countered feeling slightly insulted
joy,kinda feel like wrote blog say hey friends ephin cool
joy,like singing church smores ballet feeling graceful whilst said ballet panic
love,feel compassionate towards friend know hard time case anything
anger,id struggling feeling highly irritable toward husband
anger,feel grouchy day shouldnt
sad,dont feel submissive know thats fault isnt dont want long time becomes natural thing instead feeling lot times like upper hand
love,feel like people faithful sometimes get overlooked
love,feel liked really enjoying motherhood
joy,havent feeling successful late
sad,feel like person carl fell love lost
anger,still feel pissed fact u actually sabo ed
anger,want less grey areas fewer doctors feeling fucked regardless
anger,ive fallen asleep feels like shes even pissed
sad,guess help pay debt faster something tells going end spending drinking partying short term feel shitty
joy,feel valuable article add value honorable subscribers
joy,need much sleep feel peaceful inside
sad,feeling really lousy take diy therapy chart look emotion experiencing
anger,feel heartless getting
anger,beat anyone words bitterness try control person life feel control violent things go way blah blah blah
sad,feel dirty feel small feel inadequate
sad,feel little bit ashamed letti
anger,feeling particularly spiteful toward casual fun runners want block path carcass
joy,feel smug
joy,feel could delighted
suprise,feel shocked happy excited look blogger
joy,forget feels make real plans go anywhere sure would hospital
sad,short hours landed nice carp feel little disappointed conditions text book big perch felt right
love,feel caring
joy,feel gon na eat cookie eat cookie one sinfully delicious
sad,feel foolish im pool heavens sake kids cant stop
sad,feel really needy today
sad,genuinely feel little remorseful
fear,feel uncertain entirely safe
joy,started feeling like valued cases began convincing good guy certain situations
sad,know one fact tell ya moment realize feel humiliated palms actually sweat
joy,feel sun hitting architecture mood within painting carries amazing feeling happiness
joy,also need remember bad overeating makes feel fullness hangover get food thats rich sugary
fear,feel uncomfortable ive let go
joy,feel privileged
sad,feel awkward saying vulva even vagina conditioned years years avoid saying
joy,feel quite passionate comes directing especially comes theatre film
fear,still feel afraid nervous know im alone
love,feel blessed enjoy activities like
joy,know want get wil go drive determination people tell going pace quitting feel like gracious person world
sad,shake feeling making foolish decision
joy,feel smug done
joy,feel pleased like regrets world
joy,sometimes feel like losing grip precious moments long
sad,hiding feeling low away somewhere else meant became outsider whenever go feel sick fear know walking
sad,willing follow promptings even feel foolish awkward
anger,found sweating getting anxious game feeling irate game began look iffy steelers especially refs blowing calls
love,feel gentle gentle kick nudge precious daughter remember miracle even exists
sad,freely accept gods grace however believe standard someone else makes feel dumb lazy mistake
joy,im feeling generous birthday month
sad,feel really sorry people lose one abilities really respect insistence live
suprise,never got feeling surprised honored zacarias lifemate something really expected
joy,hate people blame upset feelings situations towards innocent cautious individuals
joy,feel supporting lifting
anger,im sure youre supposed feel people feel find someone jealous pride
anger,began feel impatient puzzled somehow translated facial expression fault usually hide feelings
joy,feel hella intelligent subject
anger,im tired feel annoyed husband know one amazing husbands ever way husbands
joy,feel particulary successful
love,dont know feel compassionate im writing
joy,say feelings sincere would like nothing better kiss
sad,qualms walking dealership feel disrespected ignored patronized point time
joy,live less time energy anything make heart soul feel joyful happy satisfied
fear,able head shot someone end football field feel threatened
love,feel slutty quote
sad,feel lost stuck tired depressed
joy,feel really though version user friendly go back coming reasons life would much better taller brown hair
suprise,feel stunned senses violated wonderful way
anger,tried work feel agitated rather flattered
joy,feel like supporting teenager team significant killing us
anger,feel like cold weather left yet also feel right around corner waiting come back
fear,feel seriously threatened
fear,feel vulnerable coming election given performance
sad,feel like im ungrateful
joy,feel pretty href http www
anger,feel grouchy eating breakfast
sad,im age people tend start going direction feel im doomed roam around world alone never get chance experience
love,sit pen lines get feeling person going write probably beloved son great nation
anger,feel fucked
joy,feel divine gaze following like eyes mona lisa let go release grip truly know never alone sacred journeys endeavors
love,feel lack success deals administration specifically lack administration supporting communicating key stake holders like teachers
sad,anything offer though made feel helpless
joy,hope might create generation kids learns never fear sharing openly people feel safe
sad,feel like pac fee like biggie track suffering success khaled reasons rick ross brash unapologetic lyrics allowed miami rapper occupy space hip hop owned fallen legends
anger,feeling jealous remind story keeps path better living
joy,would look page feel satisfied almost ecstatic id produced
joy,feel glad see article titled humour kills purvaja sawant times life toi
joy,feel honored sam asked involved allowed tag along
love,experience bringing inexplicable feeling longing sacred
joy,im feeling appreciative
love,honor feeling think gone accepted future present many old schoolmates wont experience thats really okay also okay little sad
sad,im suffering writers block feeling disillusioned hopeful even strangely plausible youre may choose write
anger,im defensive never good making feel hostile towards people annoying trivial
joy,fell asleep feeling contented
sad,feeling wishing happened feel devastated past
love,feel philip today way would feel beloved son gone life crime
love,ive explained love brand feel would like stay loyal
joy,came feeling thankful god gospel husband seriously exhibited much love patience diligence
sad,definitely feeling surge sift hormones doesnt take much make weepy days
fear,feel frantic sometimes like im forced something know im good people making decisions
anger,ive feeling really irritable
sad,heard friend died accident group situation suddenly friend came said already heard terrible consternation
sad,really feel unimportant
joy,feel pain hunny know mop top takes lot work im sure already know
sad,still feeling dull uninspired today type post yesterday
joy,still feel life wonderful help oliver experience loving environment
joy,im hopeful judd able assemble cast feels passionate hell able tell great stories
joy,went back couple weeks later mom dress sale feeling particularly hopeful wed find one course
joy,different person much confident feel proud
love,feel like im getting stronger supportive boom
sad,spent way much youth longing things thought would make happy discover things way feeling empty dont already enjoy life
joy,feel sure completely crash burn tomorrow nature life
anger,feel pissed attitude towards far away
sad,often reminded would rather feel miserable pregnant feel great pregnant
love,feel like someone others admired
sad,kind feel like punished
joy,feel like pictures post never cute
sad,feel ungrateful despite wonderful things done past couple weeks enjoyed much still help feel killing time
fear,feeling fearful insecure big god backing
sad,feel extremely guilty chat people common topics chat send lot emails
sad,lonely feel worthless
love,wonder cops ever feel horny feel boys frisking
joy,told friend last week good busy feel life really wonderful blessed get love
sad,woke morning feeling really groggy didnt want go course sunday know go church feel much better
anger,work hard teacher feeling resentful teaching degree
joy,im feeling like hour nurse maid fry cook couple really cute assholes
joy,chatted young rastafari lookers played bands feeling thrilled body calm presence
joy,lied feelings towards sincere
sad,failing perform expected duties worrying things may forgotten yesterday starting feel rather crappy
sad,feel like ends coming near music like lending ear helping troubled soul find way dark sugarland heart
joy,feel joy determined share others
sad,wide awake feeling numb broken
love,dread deal bank teller kind people feel loved much lives
joy,met group people made feel welcomed comfortable get middle things
joy,feeling really adventurous may walk lirr station hop train manhattan nyc go shopping stop st
sad,feel little weepy right
sad,remember many many times read comments would laugh hard feel damaged internal body part
joy,feel honored nominated award times since first nominated back september
love,could feel delicate things lace frill
anger,ive words feeling bit frustrated lack figuring
fear,fight vociferously right say want say first amendment right free speech stand idle feel people especially vulnerable populations treated way could detrimental effects lifetime said del
sad,feel like lame want change
joy,mean didnt feel like one felt like casual outing meeting catch
love,im pleased product works seemed make short work make feels lovely skin
love,feel hot kind dress like moment may ignite polyester
sad,grew feel numb shutting everyone tried help
anger,cant least say goodnight feel agitated
sad,could feel much body hated mile
sad,feel bit gloomy time year wait days lengthen
joy,feel puts much pressure keeps focusing music enjoying life glamorous may seem
anger,remember feeling impatient even struggling like times
sad,feel priveleged want check site rel nofollow nofollow target blank href http www
sad,experienced disorientation lack sleep even moments feeling groggy
anger,feel unbelievably vicious humanizes tad
sad,sharing story telling may feel like alone
sad,feel fake lack better word
fear,sit munching vegetables hummus ranch feeling distraught
love,cant help think feels bit delicate lois lane
joy,feel im sure topic ability awaken feelings
joy,feel content god gives nice house live happy family good job
joy,feel proud ask anyone help
joy,feel supporting small businesses especially female owned
sad,feel like still drained strength like lost fitness managed gain past months
sad,know feeling little sentimental tonight thought reading messages
love,want anything kids feel loved safe cared
joy,know love struggle feeling content balanced
joy,im better mood often im also multivitamin feeling energetic speed instead fatigued forlorn
suprise,feel little funny typing life blog goes
anger,wanted borrow lecture notes friend lend
anger,keep feeling bothered word idea always randomly appears
fear,feel like theyre afraid admit loved person isnt life anymore
joy,feel uncharacteristically mellow today
sad,dont think one night matter amazing day havent gone bed feeling somewhat discontent
joy,chosen lines feel would acceptable people faiths even spiritual belief
joy,always love new lingerie never fail feel fab wear
love,feel way imagine someone feels beloved pet turns around bites betrayed confused hurt angry stupid
joy,feeling thankful today
suprise,went work feeling curious
anger,im usually feeling relatively grumpy least see husbands smiling face
anger,feel like less stuff id feel less distracted
anger,even found feeling envious peoples entrepreneurial spirit
love,cant put finger faith really believe yet time feel passionate confident curiosities questions
joy,im feeling festive hanging home hubby steamy bowl pesto vegetable href http myturkishjoys
sad,feel really idiotic someone know reads whatever
joy,feel valuable less valuable others
sad,feel abused others feel less sorry think stupid get annoyed start spouting islam bad omans courts bad without caring system works trying help outset
fear,feel pulse working overtime get shy lights feel body overtime canadian twins hurriedly croon
sad,didnt feel stressed trip typically plan ahead pay attention details
fear,immediately knew could could handle called names feeling pressured things want
fear,feeling apprehensive best know anything people group kind work produce
sad,saw dietician week follow feeling lethargic time told needed eat
love,feel blessed
joy,feel graceful powerful water
joy,feeling beloved accused nothing
anger,get days plans cancelled find nothing start feel frustrated lonely
joy,say one personnel made feel even welcomed miss f communication faculty
sad,guess feeling sad
fear,feel doubtful managers team thinking survey results right
sad,feel stupid contagious entertain us nirvanas smells like teen spirit voted third place
sad,woke feeling unhappy today
suprise,feel curious paris look like simply words
joy,feel gon na become really popular trend
joy,climbed tub melted side feeling cool ceramic
joy,decide participate future ive done twice much better idea writing needs really want feel successful end month
sad,hauled feel dumb got lock key paid man fee wait see frank black amp catholics devils workshop released simultaneously black letter days initially felt better two
joy,feel relaxed listening study talk like well talk interesting also laugh cooking
anger,strange feeling pissed due
sad,say though noticed feeling sense discontent lately
joy,breasts part important part feel amazing importantly like slightly bigger boobs img src http www
love,think wary feeling nostalgic retro started cycle give
love,feel fear loving losing
fear,feel little shaken awake
sad,feel foolish rabid fan subsection exemption law
joy,left appointment feeling really bummed option vbac snatched also sort content fact prayed possibly received sign gods birth
sad,wonder third person stuff makes feel submissive
anger,feel despised mocked scorned
joy,got cutest stuff house decorated feel jolly
suprise,specifically name moment ask later feel curious
anger,feel bitter defeat satisfied performance especially first half
sad,found real part business nature things become negative experience leaving people feeling like failures broke
sad,think part description pain placed temple would feel like unwelcome intrusion changing rules without negotiation consent
joy,im feeling generous tanisha nailing look rare im gon na give w
sad,think hes feeling ignored today
anger,example
sad,feel stupid careless idea im moment
joy,feel determined try tomorrow
joy,feel brave inside deep inside
love,really bothered wanted pay extra go straight typical chris style bec feeling compassionate took trip gem shop
joy,hope would feel honored memory
anger,cant understand coke way makes people feel violent invincible
joy,dont know never thought im feeling awfully clever modern figured
love,find rest time leave feel longing return grow ever stronger
joy,feel like takagi sayuki energetic girl juice juice
love,feel generous selfish
fear,remember feeling much except determination get afraid
joy,feel virtuous eat veggies dipped hummus
joy,feel appreciative amazing alive usual today
love,known many cancer survivors feeling given second lease life devoted lives amazing giving
joy,want feel popular
sad,know sometimes need talk feel matter foolish might seem sometimes need listen
joy,need taking inhaler much feel energetic sneezing
joy,eat three meals five crabs feel delicious crab
sad,lack patience feel defeated always love mom
sad,im sick enough feel lousy standing front class burden sick enough go doctor
joy,really feel giggly
joy,feel divine ways one
suprise,feel amazing every run
love,expressed feelings gentle pat back
joy,mean races throughout year driver feel maybe pleased proud get
sad,feel empty hurts much ash cried nudging face gray sweater
love,nauseous feeling quite delicate
sad,death grandfather
sad,feel like fake person loads mask
joy,felt god strongly speaking time stop thinking negatively begin feel confident pursue friendships
fear,got weird feeling got scared
sad,longer feel submissive sometimes even feel control
sad,removes tension makes fights feel like boring chore even though tried provide mechanics interesting choices
love,feel passionate certain occurrence feel desire put words
love,want feel like truly passionate something someone anything matter
joy,feeling ecstatic walked back van carrying one oven roasted chicken breast sandwhich also incredibly satisfied smirk
joy,feel warmly welcomed place endless educational opportunities unforgettable experiences
fear,feel weird linking art manliness information scarcity youtube george bernard shaw birds hair
sad,make mistakes everybody im right middle point life im teenager im things cuz feel like em bitch times completely idiotic taking things extremes
joy,feel thrilled beautiful energy pervaded camp day smoothly things flowed
sad,know sherry suck really like man good man wonderful grandfather question booze liked feel horribly rejected
sad,feeling little bad
love,feel piece stood delicate pretty detail bird contradictory shapes patterns background
suprise,feel impressed within typically something clicks thoughts calm relaxed
anger,feel stressed cuz think lazy ive wasted time ridiculous thing never revision
joy,ive got results makes feel satisfied
anger,realized free pursue really want stopped feeling envious happy couples around started inspired
fear,feel timid anything right
joy,feel pretty good self evaluation today
joy,find days feel fab suddenly realize get compliment day
fear,feel threatened others believe means fear might wrong
sad,feel stressed
sad,im feeling sentimental day ago
love,feel strongly year lord calling grow discipline year faithful things put front
love,feel necessity compare romantic movies leaf asks franchis film
sad,think leads arguements feeling hurt girls guys feel really frustrated girl says think hair really dry think
joy,ive described earthquake feeling like jolly green giant shoved apartment building
joy,feel like important bo
suprise,im back home alone feels strange
fear,felt strange feeling joy doubtful much full questions
sad,im feeling emotional backlash certain href http wnfmcgill
fear,went fishing kilometers shore lake malawi could settle lake became rough point threatening lives
anger,heard part conversation one talked low women
joy,look forward day happy heart feels like completely explode today take peaceful moments happiness truly bring happiness
love,remember feeling loving child
fear,actually stop think makes feel quite overwhelmed
anger,honestly try mess peoples feelings tell like feelings towards get completely fucked
fear,feel strange get noticed white dude
joy,choose sleek smoother feel sweet revenge made drawing handling blaster bit nicer
anger,im much governed emotions feelings many time appear hostile childish oversensitive selfish pessimistic even mental
sad,feel damaged honestly believe beyond repair bad things nice people threw away dumped never begin
suprise,still way go much closer finish line start line feels amazing
sad,losing friends hang others anymore getting school work done working half much saving money super critical feel needy also feel insecure well
joy,dont know dont know feel everything going ok
sad,believed mental imbalance part feel numb
joy,thank enough always finding way make feel better
sad,feel times doomed even take shot
fear,feel like lead joke something ha thought id let know im writing im bit shaken
joy,feel fabulous accomplished seemingly impossible odds
sad,still attitude weak seeking help feeling defeated unable deal problems
joy,feel like rel bookmark sometimes feel like sometimes feel like sure relate
fear,realized child wild emotions feeling child feeling insecure neglected angry hurt
sad,still feel tinge morose unforeseen cause
sad,know damn well times like feel extremely disillusioned teenager
joy,feel important tools jumpstart mind whenever needed
sad,sekarang dont know feel numb
joy,get feeling nellie satisfied phone rang happy leslie room
joy,forcing feel positive happy grateful thats whatever reason feeling
fear,went holiday party evening courtesy another journalism sibling call big bro feeling little unsure really attending
joy,want feel relaxed ill go talk freddie
anger,continual admiration authors skill building complex world also continually feeling annoyed tired disgusted bored last politics mainly
joy,dont think ever honest makes feel excited happy design
fear,anemic sooo tired lightheaded get spaced feeling anxiety attacks terrified passing
anger,guess feeling little selfish think ok
joy,feel comfortable caf room
love,quoted feel supportive adopt wishing
sad,think feeling whiney kept glancing wistfully mrs
